                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.49236,                0.35481,                0.82903,                0.91394,                0.78197,                0.83741,                0.73903,                0.64464,                0.80133,                 0.8359,             0.00057735,             0.00057735,             0.00057735
                     95,                0.49443,                 0.3453,                0.83386,                0.90395,                0.75439,                0.84251,                0.73899,                0.65758,                0.74872,                0.83009,              0.0005746,              0.0005746,              0.0005746
                     96,                0.49672,                0.35621,                0.83319,                0.91458,                0.76222,                0.82622,                0.71653,                0.64323,                0.80568,                0.82922,             0.00057185,             0.00057185,             0.00057185
                     97,                0.49397,                0.34752,                0.82804,                0.90131,                0.77819,                 0.8142,                0.71306,                0.64963,                0.77629,                0.83125,             0.00056911,             0.00056911,             0.00056911
                     98,                0.49333,                0.34775,                0.83056,                0.91183,                0.76537,                 0.8511,                0.74225,                 0.6369,                0.70762,                0.82642,             0.00056636,             0.00056636,             0.00056636
                     99,                0.48611,                 0.3518,                0.83297,                0.87584,                0.77424,                0.82849,                0.72945,                0.63712,                0.84088,                0.82506,             0.00056361,             0.00056361,             0.00056361
                    100,                0.48728,                 0.3412,                0.82627,                0.83727,                0.80789,                0.85743,                 0.7419,                0.65475,                0.76224,                0.83189,             0.00056086,             0.00056086,             0.00056086
                    101,                0.48682,                0.34193,                0.82929,                0.87452,                0.73307,                0.82425,                0.71814,                0.63299,                0.79737,                0.82644,             0.00055811,             0.00055811,             0.00055811
                    102,                0.48465,                0.34654,                0.83009,                0.89495,                0.76756,                0.83675,                0.73955,                0.62769,                0.75223,                0.82743,             0.00055536,             0.00055536,             0.00055536
                    103,                0.48964,                0.34939,                0.82952,                0.83783,                0.76266,                0.82263,                0.71695,                0.64597,                0.83586,                0.82728,             0.00055261,             0.00055261,             0.00055261
                    104,                0.48709,                0.34504,                0.83082,                0.89005,                 0.7467,                0.83267,                0.72838,                0.63379,                0.71883,                0.82534,             0.00054986,             0.00054986,             0.00054986
                    105,                0.48318,                0.34853,                0.82949,                0.79394,                0.74297,                0.77572,                0.67383,                0.63606,                0.95812,                0.82374,             0.00054711,             0.00054711,             0.00054711
                    106,                 0.4895,                0.33971,                0.83213,                0.86677,                0.77022,                0.84219,                0.74916,                0.62882,                0.69437,                 0.8304,             0.00054437,             0.00054437,             0.00054437
                    107,                0.47753,                0.33122,                0.82805,                0.79042,                0.76345,                  0.797,                0.69438,                0.63687,                 0.7504,                0.83159,             0.00054162,             0.00054162,             0.00054162
                    108,                0.47529,                0.34049,                0.82668,                0.76774,                0.73198,                0.80193,                0.70559,                 0.6348,                0.80626,                0.82429,             0.00053887,             0.00053887,             0.00053887
